*	NAME	s	MX	dMX	MY	dMY
$	%s	%le	%le	%le	%le	%le
BR3.DHZ15L1-BR3.UES2L3	15.285	0.43860319	0.065497471	-0.033463316	0.0113139
BR3.DHZ15L1-BR3.UES3L3	25.103	3.9325095	0.066712813	-0.193948	0.014012985
BR3.DHZ15L1-BR3.UES4L3	34.92	-1.1428683	0.045634443	-0.068919279	0.013170672
BR3.DHZ15L1-BR3.UES5L3	44.738	-3.5653836	0.050675258	0.24365343	0.014021998
BR3.DHZ15L1-BR3.UES6L3	54.555	1.803097	0.084712174	0.059478071	0.017864394
BR3.DHZ15L1-BR3.UES7L3	64.373	3.2074182	0.059214934	-0.30832885	0.025384865
BR3.DHZ15L1-BR3.UES8L3	74.19	-2.3291451	0.040720571	-0.075027592	0.01118332
BR3.DHZ15L1-BR3.UES9L3	84.008	-2.7818252	0.046387063	0.31901889	0.0064395007
BR3.DHZ15L1-BR3.UES10L3	93.825	2.2608823	0.	0.0080131704	0.
BR3.DHZ15L1-BR3.UES11L3	103.643	2.2615579	0.	-0.34949533	0.
BR3.DHZ15L1-BR3.UES12L3	113.46	-3.2871063	0.056221774	0.029051703	0.022498804
BR3.DHZ15L1-BR3.UES13L3	123.278	-1.6717732	0.067536477	0.39108361	0.0065352182
BR3.DHZ15L1-BR3.UES14L3	133.095	3.4001456	0.	-0.10258368	0.025103787
BR3.DHZ15L1-BR3.UES15L3	142.913	3.7928591	0.063325048	-0.18849794	0.01935758
BR3.DHZ15L1-BR3.UES16L3	152.73	0.2359147	0.041156471	0.041452699	0.0081895585
BR3.DHZ16L1-BR3.UES1L3	5.467	0.37844375	0.045581358	0.1124578	0.012000655
BR3.DHZ16L1-BR3.UES2L3	15.285	-3.5374229	0.026515888	0.062920893	0.0055961706
BR3.DHZ16L1-BR3.UES3L3	25.103	0.31250579	0.040483178	-0.28600632	0.0086634084
BR3.DHZ16L1-BR3.UES4L3	34.92	3.827286	0.04497079	-0.0025220486	0.0066102354
BR3.DHZ16L1-BR3.UES5L3	44.738	-0.87978561	0.042340489	0.25135199	0.012402228
